NUM;FECHA_CORTE;PERIODO;EMPRESA;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_DISTRITO;TECNOLOGÍA;SEGMENTO;RANGO_VELOC_BAJADA;VELOC_INFERIOR_KBPS;VELOC_SUPERIOR_EXCLUYENTE_KBPS;CANT_CONEXIONES
102;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;7
103;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;3
104;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;237
105;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;INDEPENDENCIA;20105;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;152
106;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;JANGAS;20106;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;6
107;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;JANGAS;20106;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;9
108;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;TARICA;20112;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;25
109;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARAZ;TARICA;20112;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;4
110;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARI;CAJAY;21003;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
111;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARI;CHAVIN DE HUANTAR;21004;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
112;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARI;HUARI;21001;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;6
113;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARI;HUARI;21001;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;34
114;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARI;HUARI;21001;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;27
115;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARI;HUARI;21001;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;4
116;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARI;SAN MARCOS;21014;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;1
117;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARI;SAN MARCOS;21014;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;2
118;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARMEY;HUARMEY;21101;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;1
119;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARMEY;HUARMEY;21101;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;4
120;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARMEY;HUARMEY;21101;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;35
121;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUARMEY;HUARMEY;21101;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;48
122;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUAYLAS;CARAZ;21201;Otras Tecnologías;Comercial;8 Mbps <= BW < 16 Mbps;8192;16384;2
123;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUAYLAS;CARAZ;21201;Otras Tecnologías;Comercial;16 Mbps <= BW < 30 Mbps;16384;30720;4
124;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUAYLAS;CARAZ;21201;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;5
125;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUAYLAS;CARAZ;21201;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;40
126;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUAYLAS;CARAZ;21201;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;164
127;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUAYLAS;HUALLANCA;20508;Otras Tecnologías;Residencial;2048 <=  BW < 4096 kbps;2048;4096;1
128;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUAYLAS;HUALLANCA;20508;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;5
129;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;HUAYLAS;HUAYLAS;21204;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
130;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;21301;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;1
131;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;21301;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;3
132;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;MARISCAL LUZURIAGA;PISCOBAMBA;21301;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;4
133;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;OCROS;OCROS;21401;Otras Tecnologías;Residencial;4 Mbps <= BW < 8 Mbps;4096;8192;2
134;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;OCROS;OCROS;21401;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;10
135;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;OCROS;OCROS;21401;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;3
136;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;PALLASCA;CABANA;21501;Otras Tecnologías;Residencial;8 Mbps <= BW < 16 Mbps;8192;16384;5
137;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;PALLASCA;PALLASCA;21508;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;1
138;20240617;202306;AMERICA MOVIL PERU S.A.C.;ANCASH;PALLASCA;PAMPAS;21509;Otras Tecnologías;Residencial;16 Mbps <= BW < 30 Mbps;16384;30720;5
